"keyword","slug","volume","traffic_cost","category","status","created_date","seo_score","screaming_eagle","notes"
"online savings accounts","best-online-savings-accounts",7700,69771,"finance","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify optimization"
"gold coins for sale","best-gold-coins-for-sale",9200,27104,"finance","pending","","","","Gold bars and coins investment"
"internet providers","best-internet-providers",132000,50568,"home","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify optimization"
"home security cameras","best-home-security-cameras",8700,31122,"home","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify optimization. Linked from home-insurance-coverage.md"
"refinance car loan","best-auto-refinance-lenders",65000,42061,"finance","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify optimization. Linked from car-insurance-coverage.md"
"student loans","best-student-loans",52000,68772,"finance","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify. Linked from credit-cards/index + credit-card-points.md"
"car transport","best-car-transport-companies",12000,32827,"home","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify. Linked from car-insurance-coverage.md"
"disability insurance","best-disability-insurance",32000,6411,"insurance","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify. Linked from insurance/index.astro"
"rv insurance","best-rv-insurance",8300,56998,"insurance","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify. Linked from insurance/index + car-insurance-coverage.md"
"mortgage refinance","best-mortgage-refinance-companies",13000,19114,"finance","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify. Linked from credit-card-points.md"
"gold ira","best-gold-ira-companies",11000,9083,"finance","needs-images","2025-12-11","","1-3,6 done","Need: hero image (freepik), Imagify optimization"
"window replacement","best-window-replacement-companies",94000,10491,"home","pending","","","","Very high volume - home improvement"
"moving services","best-moving-companies",6000,39879,"home","pending","","","","United Van Lines variant"
"annuities","best-annuities",11000,5701,"finance","pending","","","","Immediate annuity focus"
"electric bikes","best-electric-bikes",7800,1297,"lifestyle","pending","","","","E-bike reviews"
"portable oxygen concentrators","best-portable-oxygen-concentrators",7300,11760,"lifestyle","pending","","","","Medical device reviews"
"project management software","best-project-management-software",130000,15235,"tech","pending","","","","Gantt chart tools"
"meal delivery services","best-meal-delivery-services",4200,6141,"lifestyle","pending","","","","HelloFresh comparison"
"pet insurance","best-pet-insurance-companies",2900,12981,"insurance","pending","","","","Cheapest pet insurance"
"roadside assistance","best-roadside-assistance",15000,4903,"insurance","pending","","","","AAA alternatives"
"travel insurance","best-travel-insurance-companies",8400,8213,"insurance","pending","","","","Travel coverage guide"
"tax relief","best-tax-relief-companies",21000,8922,"finance","pending","","","","Fresh start program"
"ai note takers","best-ai-note-taking-apps",12000,2387,"tech","pending","","","","AI meeting tools"
"home equity sharing","best-home-equity-sharing-companies",6800,6829,"finance","pending","","","","Symple lending type"
"emergency food supply","best-emergency-food-supply",11000,480,"lifestyle","pending","","","","Survival food kits"
"dog food delivery","best-dog-food-delivery",13000,1382,"lifestyle","pending","","","","Badlands ranch type"
"vpn services","best-vpn-services",3100,739,"tech","pending","","","","ExpressVPN comparison"
"boat insurance","best-boat-insurance",6800,7774,"insurance","pending","","","","Boat insurance quotes"
"password managers","best-password-managers",14000,1582,"tech","pending","","","","2024/2025 guide"
"high yield savings accounts","best-high-yield-savings-accounts",8400,664,"finance","pending","","","","Ally bank rates variant"
"email marketing software","best-email-marketing-software",12000,1775,"tech","pending","","","","Mailchimp alternatives"
"ira accounts","best-ira-accounts",8000,878,"finance","pending","","","","Roth IRA guide"
"antivirus software","best-antivirus-software",3800,516,"tech","pending","","","","Mac antivirus focus"
"cold plunge tubs","best-cold-plunge-tubs",17000,374,"lifestyle","pending","","","","Ice bath reviews"
"gutter guards","best-gutter-guards",6800,1760,"home","pending","","","","LeafGuard alternatives"
"mattresses","best-mattresses",2900,418,"lifestyle","pending","","","","DreamCloud vs Nectar"
